channel,category,count
FIN[SYS],Education,299
beIN SPORTS Türkiye,Sports,82
Samet,People & Blogs,1
Bokoen1,Gaming,381
Yatırım 101,Education,705
Midas,News & Politics,8
Midas,Education,1
Brian Zaharatos,Film & Animation,1
Timothy Schulz,Science & Technology,1
Hopefully Helpful Mathematics Videos,People & Blogs,2
LorettaBritish Cat,Pets & Animals,1
Chaotic Florius,Gaming,1
MegaBen,Entertainment,1
TRT SPOR,Sports,57
Drumeo,Education,21
QuietMeme,Entertainment,1
Bizenek Studio,People & Blogs,1
arda uzun,People & Blogs,1
Yugusuguf,Entertainment,1
pipidik.mp4,Gaming,2
xQc Clips,Entertainment,3
xKennyy,Gaming,1
CapturedTracks,Music,1
Rocket Riley,Entertainment,1
Metallica - Topic,Music,71
CKARAGZ,People & Blogs,1
adriandotg,Music,2
Apex Clips,Film & Animation,1
ClipZone: High Octane Hits,Entertainment,1
TaylorSwiftVEVO,Music,4
Yemek.com,Howto & Style,1
Özdemir Erdoğan Müzik,People & Blogs,1
Ferhat Göçer - Topic,Music,1
Candan Erçetin - Topic,Music,1
Ayna - Topic,Music,1
HalseyVEVO,Music,3
LeylaTheBand,Music,1
byahmetxan,Music,1
emreaydinVEVO,Music,2
Taylor Swift,Music,20
PRIDEABHI Gaming ,Education,1
SGS2020,Howto & Style,1
Random Master,People & Blogs,1
Erzincandaki Fenomen,Travel & Events,1
Murat Aydemir,Music,1
Kalan Müzik,Music,3
GracieAbramsVEVO,Music,2
BurayVEVO,Music,1
NFL,Sports,1
Daniel Araya,Music,1
Robert Kapa,People & Blogs,1
UEFA,Sports,1
Eclipse Ilx,Gaming,1
JoBlo Movie Clips,Film & Animation,2
Queen - Topic,Music,1
Queen Official,Music,9
Low Level,Science & Technology,2
Core Dumped,Science & Technology,1
"Beş Yıl Önce, On Yıl Sonra - Topic",Music,1
StingVEVO,Music,1
TylaVEVO,Music,1
MetalcorePapii,Music,15
Rykerroad,Entertainment,39
Erkek Kafası,Howto & Style,2
GolNet Medya,Sports,16
Binge Heroes,People & Blogs,6
Robin Clips,Film & Animation,1
Yatırım Finansman,News & Politics,37
Chill General,Gaming,1
Wandervanlife 🚐,People & Blogs,4
Pillow,People & Blogs,1
Michael Sambol,Education,3
Rosier,People & Blogs,1
S Sport,Sports,13
melik,People & Blogs,2
Nesin Matematik Köyü,Education,7
inzva team,Education,1
Bilim Akademisi,Entertainment,1
Kerem Altunbaş,People & Blogs,3
Madrigal,Music,9
Stevie Beerkens,People & Blogs,1
Maytal84,People & Blogs,1
AOD Gaming,Gaming,1
Paramore - Topic,Music,1
Sleep Token - Topic,Music,40
Arctic Monkeys - Topic,Music,28
Warner Bros. Pictures,Entertainment,2
Warner Bros. Pictures,Film & Animation,1
Musora Education ,People & Blogs,1
NefariousEdits,People & Blogs,1
Nik Nocturnal,Music,104
Drum Portfolio,Music,7
FirstRowConcert,Music,40
Arcade Edits,Music,4
Jaimunji,Entertainment,1
RyRy Reacts,Music,1
SleepTokenVEVO,Music,58
Volbeat - Topic,Music,1
Deftones - Topic,Music,1
Silent Vice - Topic,Music,1
Breaking Benjamin - Topic,Music,1
Release - Topic,Music,3
Gojira - Topic,Music,3
Ahdy Khairat,Music,337
CATZ,Pets & Animals,1
Kuzşewiti merkezi,People & Blogs,1
Memnune Boztepe,People & Blogs,1
my Pets ASMR,Pets & Animals,1
Suhak Natasha,Pets & Animals,1
Lee Walters,Pets & Animals,1
RONOH SPORTS,People & Blogs,1
Hubble,Sports,1
ShortsOnSports,People & Blogs,1
Yobio,Entertainment,6
Yobio,Music,1
Fifth Dimension Films,Comedy,1
Para Dormir - Topic,Music,1
Lluvia para Dormir - Topic,Music,1
Forest at Night Sounds - Topic,Music,1
Wake Up Slow - Topic,Music,4
EXXENSPOR,Sports,8
Top Movie XXL,Film & Animation,2
J é f f,Film & Animation,4
BLACKLIGHT - Video Editor,Comedy,1
Evrim Ağacı,Education,101
Fintables,Howto & Style,6
Clairo - Topic,Music,1
Deep Sleep - Topic,Music,1
Dan Gibson's Solitudes - Topic,Music,1
ArS,Entertainment,1
Chris,Gaming,1
Bpoint Show,Gaming,1
wawa,Gaming,1
NoCom,Gaming,1
Cemil Colak,People & Blogs,1
Aziz Yıldıvım,Sports,1
Desestresse - Topic,Music,1
Rain Sounds - Topic,Music,1
Temporale & Rilassamento - Topic,Music,1
Jamie Llewellyn - Topic,Music,1
Nature Sounds Relaxation - Topic,Music,1
Rooster Sounds - Topic,Music,1
Anıl PvP,People & Blogs,1
Slipknot - Topic,Music,9
Elif Şimşek,Music,1
Missing Semester,Science & Technology,6
caroemerald,Music,1
Taste Nate - Topic,Music,1
BILYL,Music,1
Ufak Bi Kanal,Entertainment,1
Burak,People & Blogs,2
Satranç Dünyam,Gaming,2
Bora ,People & Blogs,1
one leg bird ,People & Blogs,3
joloe,People & Blogs,1
freeCodeCamp.org,Education,56
Spor Zamanı,Sports,1
Mauro İcardi,Sports,1
Quaresma×Ghezzal edits,People & Blogs,1
oguzSeto,Sports,1
arcan nalbantoğlu,People & Blogs,1
İlkay Özbay Özel,News & Politics,1
PUR+,Science & Technology,2
Porçay,Entertainment,171
Porçay,Music,9
Porçay,Education,2
Porçay,Howto & Style,1
Porçay,Gaming,1
PewDiePie,Entertainment,76
PewDiePie,Music,5
PewDiePie,Gaming,262
PewDiePie,People & Blogs,2
PewDiePie,Comedy,4
testo taylan,People & Blogs,1
testo taylan,Sports,2
SeseGel,Gaming,17
SeseGel,Music,1
Berkay Koçak,People & Blogs,1
°•soft_díéøn•°#ytabonemicekme,People & Blogs,1
Harun Yıldızlı ,Gaming,1
müstakil haber,People & Blogs,1
Taureor,Gaming,143
Haluk Canberk,People & Blogs,1
Haluk Canberk,News & Politics,1
TradeAll,People & Blogs,9
Ready For Geddy,Gaming,1
Barış Özcan,Education,93
warpdotdev,Science & Technology,1
Cameron Das Racing,Autos & Vehicles,1
MIT OpenCourseWare,Education,4
Intellipaat,Education,1
Ryan & Matt Data Science,Science & Technology,1
TommyKayVODs,Gaming,39
TommyKayVODs,Howto & Style,1
Simplilearn,Education,1
Metallica,Music,347
Silent Field,Music,1
Kian Luke,Entertainment,1
Mangrove Planks,Gaming,1
Aykut Elmas,Comedy,33
Clementdav Runs,Gaming,6
Voltrox,Gaming,3
Kebap Shorts,Gaming,12
BlazeDude,Gaming,1
C4RDİGAN,People & Blogs,3
The Office,Entertainment,1
Tuncay Turşucu,People & Blogs,1
Google Career Certificates,Science & Technology,1
HTalks ,Sports,3
HTalks ,Comedy,3
HTalks ,Gaming,5
HTalks ,Entertainment,1
Dost Kayaoğlu,Gaming,136
Dost Kayaoğlu,Entertainment,3
Dost Kayaoğlu,People & Blogs,4
Dost Kayaoğlu,Film & Animation,1
Filmler ve Filimler,Entertainment,37
LaZ1en Farms,Gaming,5
HBG Highlights,Gaming,3
Coding Artist,Education,1
sinkolon,Comedy,2
Evrende Sasi,Entertainment,1
Uyduruk Bir Grafik,Entertainment,1
Legoboy1243,Film & Animation,1
megas59,Gaming,1
Ksenitiv ModReviewer,Gaming,2
sufferingenjoyer,Education,2
Ferhatboy,Education,2
INTEGRXL,People & Blogs,1
Skip the Tutorial,Gaming,1
riserecords,Music,10
Nikocado Avocado,Howto & Style,1
Nikocado Avocado 2,People & Blogs,1
ChainVideos,Film & Animation,6
GTA 6 Türkiye,Gaming,3
Heisenberg YKS,Education,2
Heisenberg YKS,Entertainment,1
inconsistencyedits,Gaming,4
Oğuz Usta,Education,6
AS Minecraft ,Gaming,1
Negan,People & Blogs,1
Tunç Kurt Matematik,Education,16
Tunç Kurt Matematik,Entertainment,1
Tunç Kurt Matematik,People & Blogs,6
Baykuş Mentörlük,Education,1
Eyüp B. Matematik Geometri,Education,281
Eyüp B. Matematik Geometri,Entertainment,2
Daftpunk,People & Blogs,1
Semih B,People & Blogs,1
Kayra Yeşil,People & Blogs,2
Matematik Şovalyesi,People & Blogs,3
