video_id,category,subcategory,watched_on,channel,duration
9MVJna5SoYM,Education,finance_market,2024-11-25T09:46:10.154Z,FIN[SYS],1.0038888888888888
kyhO9QRgoms,Sports,other,2024-11-25T06:14:40.621Z,beIN SPORTS Türkiye,0.10138888888888889
zIVZKWAhn_k,People & Blogs,other_people_blogs,2024-11-25T06:14:36.531Z,Samet,0.004722222222222222
wXaYCCXXNnM,Gaming,strategy,2024-11-24T15:37:10.279Z,Bokoen1,0.26055555555555554
oM2Ot_XJiTQ,Education,finance_market,2024-11-24T15:36:53.723Z,Yatırım 101,0.38166666666666665
yVyI1PUJ33k,News & Politics,other,2024-11-24T07:18:00.368Z,Midas,0.6586111111111111
GnIk8NPQmYc,Film & Animation,other,2024-11-23T07:41:16.561Z,Brian Zaharatos,0.17055555555555554
j84yWGAp3-8,Science & Technology,other,2024-11-23T07:39:24.184Z,Timothy Schulz,0.21222222222222223
O9ZVS3PBzsA,People & Blogs,other_people_blogs,2024-11-22T20:40:33.730Z,Hopefully Helpful Mathematics Videos,0.2975
hfjKe3g7fDc,Pets & Animals,other,2024-11-22T19:52:37.148Z,LorettaBritish Cat,0.0044444444444444444
miPEuvVi3QU,Gaming,strategy,2024-11-22T19:51:39.716Z,Chaotic Florius,0.4963888888888889
6qVI_2vW36w,Entertainment,comedy,2024-11-22T19:50:02.065Z,MegaBen,0.009444444444444445
nkVosSA8gkg,Sports,other,2024-11-07T23:47:02.420Z,TRT SPOR,0.1663888888888889
FOQJTiIwwEA,Education,language,2023-12-19T14:56:53.275Z,Drumeo,0.8980555555555556
SLEBlJ9DTAI,Entertainment,other_entertainment,2024-11-22T19:48:05.107Z,QuietMeme,0.014444444444444444
VSNHMVKPtW0,People & Blogs,other_people_blogs,2024-11-22T19:45:29.626Z,Bizenek Studio,0.018055555555555554
wQOqwtV896I,Education,finance_market,2024-11-21T22:21:28.754Z,FIN[SYS],0.7130555555555556
76QSIVSz6-E,People & Blogs,other_people_blogs,2024-11-21T22:18:11.914Z,arda uzun,0.0030555555555555557
nkX0uZcrWHM,Education,finance_market,2024-11-21T22:15:39.240Z,FIN[SYS],0.051944444444444446
SusbdgwhX9E,Entertainment,other_entertainment,2024-11-21T16:12:06.589Z,Yugusuguf,0.009722222222222222
fjhh7-it8xU,Gaming,other_gaming,2024-11-21T15:54:53.041Z,pipidik.mp4,0.006388888888888889
